MJD mag merr Rhelio Delta alpha ecl_lon ecl_lat
58000.00990 18.1148 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.02897 18.2043 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.04016 18.1616 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.06502 18.0067 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.12130 18.0152 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.12772 18.0568 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.17082 18.1773 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.18120 18.0878 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58000.21381 17.8863 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.01559 18.1450 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.02039 18.1935 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.04790 18.1617 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.06922 17.9953 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.12737 18.0573 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.13215 18.0517 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.18759 18.0526 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.18826 18.0582 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.20059 17.9109 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.20491 17.9510 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.20997 17.8917 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.21532 17.8770 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58001.22932 17.9014 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.03698 18.1622 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.04783 18.1662 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.06558 18.0150 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.07010 17.9891 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.11483 17.9785 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.12902 18.0935 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.13531 18.1172 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.14824 18.1892 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.15325 18.1711 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.15587 18.2081 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.16033 18.1851 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.19417 17.9945 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.19677 17.9498 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.21316 17.8710 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.21913 17.8955 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.24041 17.9654 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.24248 17.9660 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58002.24518 18.0106 0.0200 2.3206 1.5191 5.255 0.2364 0.5951
58200.01927 18.8315 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.05321 18.7683 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.05797 18.7729 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.07853 18.7366 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.09125 18.6477 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.18340 18.8073 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.18982 18.7323 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.19219 18.7391 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58200.21175 18.7023 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.02743 18.8240 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.03726 18.8700 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.04696 18.8159 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.05081 18.7670 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.07095 18.7038 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.11210 18.7350 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.12509 18.7952 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.12652 18.8031 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.13141 18.7550 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.14417 18.8124 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.14925 18.7982 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.18162 18.7496 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.19367 18.7510 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.19627 18.7211 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.22942 18.6861 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58201.24367 18.7339 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.03112 18.8184 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.03317 18.7962 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.07375 18.7313 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.07381 18.7186 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.07826 18.7424 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.09192 18.7026 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.09752 18.6702 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.09812 18.7251 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.10041 18.7080 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.12211 18.7288 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.17241 18.7969 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.19778 18.7255 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.21031 18.6953 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.24124 18.7254 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58202.24292 18.7344 0.0200 2.6103 1.7171 15.435 54.0093 -5.6693
58400.00496 19.0325 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.00537 19.0368 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.02953 19.0606 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.03353 19.0980 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.07916 18.9813 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.10366 18.9725 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.11581 19.0364 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.13424 19.0514 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.14988 19.0823 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.17130 19.0523 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.22113 18.9802 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58400.23469 18.9621 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.00565 19.0529 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.02340 19.0467 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.03909 19.0775 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.04371 19.0847 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.04795 19.0648 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.05411 19.0547 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.06608 19.0340 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.06908 19.0493 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.07208 19.0006 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.10737 18.9943 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.16267 19.0698 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.19914 18.9951 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.20656 18.9872 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.21126 18.9559 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58401.23854 19.0306 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.00851 19.0316 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.01150 19.0649 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.01546 19.0677 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.02046 19.0578 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.02443 19.0710 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.06509 19.0074 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.09007 18.9782 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.09641 18.9714 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.11276 18.9954 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.15163 19.0961 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.16790 19.0989 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.18524 19.0188 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58402.23932 19.0028 0.0200 2.6593 1.9873 13.478 82.8832 3.0422
58600.04446 18.2689 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.04919 18.2559 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.06795 18.0162 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.07592 17.9364 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.09407 17.8209 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.11048 17.8938 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.13056 18.1751 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.15674 18.2912 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.18649 18.0937 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.20612 17.9048 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.20827 17.8731 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58600.23100 17.8962 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.01292 18.2346 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.03170 18.3349 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.05329 18.2143 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.06680 18.0289 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.06946 17.9681 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.12130 18.0319 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.12879 18.1460 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.14409 18.3154 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.16610 18.2830 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.19465 17.9763 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.20136 17.9485 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.20319 17.8962 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.20690 17.8835 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58601.22817 17.8615 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.00924 18.1811 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.04016 18.3351 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.04360 18.3020 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.06087 18.1056 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.07079 17.9903 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.10986 17.9304 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.11976 18.0115 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.12350 18.1085 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.12461 18.0507 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.13529 18.2183 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.15577 18.3168 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.15808 18.3512 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.20159 17.9426 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58602.20781 17.8721 0.0200 2.2419 1.6077 3.279 143.9730 0.4577
58800.06601 18.5144 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.06780 18.4452 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.13900 18.6682 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.13913 18.6292 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.14062 18.6698 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.14341 18.6842 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.16074 18.6768 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.17901 18.5797 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.18005 18.5805 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.18930 18.5341 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.20000 18.4464 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58800.24106 18.4593 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.00051 18.5635 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.03931 18.6965 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.04165 18.6896 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.07195 18.4589 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.09030 18.3352 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.09843 18.4083 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.13843 18.6182 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.15667 18.7125 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.17735 18.6062 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
